repo_full_name,commit_hash,repo_size,stars_count,forks_count,watchers_count,primary_language,created_at,updated_at,has_backend_framework,has_api_layer,has_db_layer,has_backend_entrypoint,has_ml_indicators,backend_file_count,backend_score,module_count,avg_fan_out,max_fan_in,has_dependency_cycles,dependency_edge_count,architecture_label_raw,architecture_label,architecture_variant,architecture_label_source
kodekloudhub/webapp-color,a7771de37e382b2c2e76293c858cb5a70f9a0d43,11,20,101,20,Python,2018-09-28T03:43:01Z,2025-08-08T12:35:36Z,True,True,False,True,False,1,6,1,5.0,1,False,5,script-based,script_based,,manual
suzuran0y/CCTV-Smartphone-AI-Monitoring,4b481264008acc35be4de4ba6025ec6b58358ab9,17263,542,38,542,Python,2026-02-26T19:11:33Z,2026-04-05T14:58:39Z,True,True,False,True,False,21,6,14,4.714285714285714,10,False,66,modular monolith,modular_monolith,,manual
cnlimiter/codex-manager,744b1f4c1b49ac92c8af87fceb67968f9a723567,935,1842,756,1842,Python,2026-03-15T12:59:27Z,2026-04-06T16:30:27Z,True,False,True,True,False,98,5,95,5.842105263157895,50,False,555,modular monolith,modular_monolith,,manual
bahaeddinmselmi/sovereignguard,635242a299832b6b9ec7387bdee7228e9c9a405a,132,10,0,10,Python,2026-03-13T13:45:26Z,2026-03-29T11:02:18Z,True,True,True,True,True,75,9,62,3.9516129032258065,52,False,245,layered (api + db),layered,api + db,manual
bcurts/agentchattr,3e71d4267572579e7ffeb83576645f90932c1849,4068,1203,169,1203,Python,2026-02-26T19:03:35Z,2026-04-06T18:02:16Z,True,True,False,True,False,22,6,22,7.818181818181818,17,True,172,monolith (cyclic),monolith,cyclic,manual
TianPangJi/drf_admin,d4197a77aa4242b9a46bcb9085640ade3127731c,1108,592,154,592,Python,2020-06-20T10:06:03Z,2026-04-01T01:05:28Z,True,False,True,True,False,129,5,92,2.630434782608696,60,False,242,modular monolith,modular_monolith,,manual
shidenggui/easytrader,def5a8edc5ebd7d49bf92a9f39e9e30c9bf47101,926,9584,2930,9584,Python,2015-12-05T11:28:55Z,2026-04-06T15:42:13Z,True,True,False,True,False,38,6,33,4.454545454545454,27,False,147,modular monolith,modular_monolith,,manual
Miserlou/HerokuFreeProxy,02275bf98faf7402d9a67f7c4e5487d3b3ebeb95,120,20,70,20,Python,2015-05-27T02:32:45Z,2025-06-09T11:08:43Z,True,False,True,True,False,5,5,4,2.5,3,False,10,script-based,script_based,,manual
zc-zhangchen/any-auto-register,449367420d19031932dddde948434c523b4bfa0f,3827,2570,978,2570,Python,2026-03-22T13:00:59Z,2026-04-06T17:44:06Z,True,True,False,True,False,125,6,111,6.396396396396397,65,False,710,modular monolith,modular_monolith,,manual
ccxt/binance-trade-bot,55f8cbbe082bd083a722cba697f708a07f5add16,604,8642,2316,8642,Python,2019-07-12T16:43:32Z,2026-04-05T21:53:12Z,True,True,True,True,False,26,8,26,4.961538461538462,12,False,129,layered (api + db),layered,api + db,manual
Luoyoooo/LWF-YOLO,bb8692af40dae9beaed6eb8bedc910b6fda4c256,1094,10,1,10,Python,2026-01-24T07:26:10Z,2026-03-18T08:40:06Z,False,True,False,True,True,191,4,185,6.45945945945946,135,False,1195,modular monolith,modular_monolith,,manual
Soul-AILab/SoulX-FlashHead,c2b0b0fb696c58c20917b50a9c572a6ac9414233,6475,646,52,646,Python,2026-02-05T08:23:09Z,2026-04-06T13:45:10Z,True,False,False,True,True,36,4,30,5.633333333333334,25,False,169,modular monolith,modular_monolith,,manual
HKUDS/FastCode,590e49bacad6bc94a733d41119a2680c24af822d,1137,2113,249,2113,Python,2026-02-13T06:43:54Z,2026-04-06T04:57:21Z,True,True,True,True,True,81,9,79,6.253164556962025,60,False,494,layered (api + db),layered,api + db,manual
anthonylee991/gemini-superpowers-antigravity,1e08ce69483514f8c42837acacd120a328bd8b79,45,691,84,691,Python,2026-01-18T00:41:53Z,2026-04-06T15:59:48Z,True,True,False,True,False,9,6,6,6.833333333333333,5,False,41,modular monolith,modular_monolith,,manual
pbeenigg/LittleCrawler,741780d1ab15d14ba175df560b212eb06c956282,2588,688,108,688,Python,2026-01-07T01:50:12Z,2026-04-06T17:26:09Z,True,True,True,True,False,88,8,76,5.131578947368421,49,False,390,layered (api + db),layered,api + db,manual
ssnjr2002/stremio-gdrive,ac47f3409762f1128853a40eb5fc8f4aaeaf2ca1,61,121,91,121,Python,2021-04-07T11:29:51Z,2026-04-03T11:31:42Z,True,True,False,False,False,8,5,8,3.25,6,False,26,modular monolith,modular_monolith,,manual
shenhao-stu/ohmycaptcha,0b543d5436700fa3455e634583e2642a8a64159f,1367,616,210,616,Python,2026-03-09T08:09:56Z,2026-04-06T11:43:56Z,True,True,False,True,True,18,7,13,6.461538461538462,12,False,84,modular monolith,modular_monolith,,manual
ResearAI/AutoFigure-Edit,cb814458b57788cebfcd29a93be6326571445b04,113818,2331,170,2331,Python,2026-02-03T18:50:36Z,2026-04-06T15:52:30Z,True,True,False,True,True,2,7,2,22.5,2,False,45,script-based,script_based,,manual
lgy1027/matrix-live-diarizer,02f12f5ad8b07f0d1ec5b4bdd392018ea7fadbd5,2806,12,2,12,Python,2026-03-08T16:59:46Z,2026-04-05T02:09:16Z,True,True,False,True,True,34,7,31,5.483870967741935,19,False,170,modular monolith,modular_monolith,,manual
bvsbharat/OpenOfficeRL,fa2959b27a9845a3eadbe48ee41041934287647e,15782,12,4,12,Python,2026-03-07T18:03:01Z,2026-04-02T10:26:00Z,False,True,False,True,True,40,4,37,6.324324324324325,18,False,234,modular monolith,modular_monolith,,manual
FigeloMan/FRechnung,bcf9bee0061070c537ddb2e68040ca49dfc8d9da,28870,10,0,10,Python,2026-03-01T17:04:47Z,2026-03-12T18:54:17Z,True,True,False,True,False,4,6,4,8.5,4,False,34,script-based,script_based,,manual
