AT_ID,Tactic_Name,Primary_QA_Impact,Description,Positive_Impact,Negative_Impact,Related_Terms,Source
AT32,Maintain Multiple Copies Cache,"Performance, Availability","Keeps replicas of resources on separate repositories to reduce contention, using cache for frequently requested data","Performance(+), Availability(+)",Consistency challenges,"caching, replication, data redundancy, CDN",Kim et al. (2009)
AT36,Maintain Data Confidentiality (Encryption),"Security, Maintainability",Protects data from unauthorized modifications using encryption and decryption mechanisms,"Security(+), Data protection(+)",Performance overhead,"encryption, data protection, confidentiality, cryptography",Kim et al. (2009)
AT37,Restoration,"Security, Availability",Maintains administrative data separately from user data and restores them separately for better security protection,"Security(+), Availability(+)",Storage overhead,"data separation, isolated recovery, admin data protection",Kim et al. (2009)
AT38,Localized Modification,"Maintainability, Changeability","Increases cohesion to narrow modification scope, reducing cost of changes by keeping related components together","Maintainability(+), Changeability(+)",None identified,"high cohesion, encapsulation, modular design",Rahmati & Tanhaei (2021)
AT39,Reduced Coupling,"Maintainability, Changeability",Avoids coupling between components to decrease modification range and prevent ripple effects across subsystems,"Maintainability(+), Changeability(+)",None identified,"low coupling, loose coupling, independence, decoupling",Rahmati & Tanhaei (2021)
AT40,Deferred Binding Time,"Maintainability, Changeability, Portability",Enables late decision making and runtime modification by deferring binding time of components,"Changeability(+), Flexibility(+)",Runtime overhead,"late binding, dynamic binding, runtime configuration, plugin architecture",Rahmati & Tanhaei (2021)
AT41,Decomposability,"Testability, Analyzability, Maintainability","Divides system into modules or layers to isolate problems, facilitate testing and simplify analysis","Testability(+), Analyzability(+), Maintainability(+)",None identified,"modular design, separation of concerns, layering, modularization",Rahmati & Tanhaei (2021)
AT42,Self-Descriptiveness,"Understandability, Testability","Adds comments, process explanations, valid naming to increase understandability and simplify testing","Understandability(+), Maintainability(+)",None identified,"documentation, comments, meaningful names, self-documenting code",Rahmati & Tanhaei (2021)
AT43,Standardization,"Understandability, Portability",Uses standards in artifacts to reduce learning time and increase understandability across team,"Understandability(+), Portability(+)",None identified,"coding standards, design standards, conventions, best practices",Rahmati & Tanhaei (2021)
AT44,Machine Independence,Portability,Increases hardware abstraction level using standard middleware to enhance portability across platforms,Portability(+),Abstraction overhead,"hardware abstraction, platform independence, middleware, virtualization",Rahmati & Tanhaei (2021)
AT45,Software System Independence,Portability,Synthesizes system based on environment-independent methods like CORBA or Java Beans,Portability(+),Complexity,"platform abstraction, environment independence, cross-platform development",Rahmati & Tanhaei (2021)
AT46,Formality,Analyzability,Defines architecture formally to increase analyzability and enable formal verification,"Analyzability(+), Verifiability(+)",Specification effort,"formal methods, formal specification, ADL, architecture description language",Rahmati & Tanhaei (2021)
AT47,Traceability,"Analyzability, Maintainability","Maintains links between requirements, design and implementation to facilitate analysis and change impact assessment","Analyzability(+), Maintainability(+)",Traceability maintenance overhead,"requirements traceability, design traceability, traceability matrix",Rahmati & Tanhaei (2021)
AT48,Adding New Components,"Maintainability, Changeability","Addresses changes by adding entirely new components rather than modifying existing ones, enabling higher productivity","Maintainability(+), Productivity(+)",Potential architecture bloat,"component addition, extensibility, modular extension",Bosch et al. (2000)
AT49,Adding New Plug-ins,"Maintainability, Changeability","Extends existing components through plug-in mechanism for smaller changes, higher productivity than code modification","Maintainability(+), Extensibility(+)",Plugin management complexity,"plugin architecture, extension points, component extension",Bosch et al. (2000)
AT50,Impact Analysis,"Maintainability, Analyzability",Analyzes changes to software architecture and components required to incorporate change scenarios before implementation,"Analyzability(+), Risk reduction(+)",Analysis effort,"change impact analysis, dependency analysis, ripple effect analysis",Bosch et al. (2000)
